Count of OFFENSES,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,ATTEMPTED HOMICIDE(PERSONS),ATTEMPTED MURDER(PERSONS),ATTEMPTED PARRICIDE(PERSONS),ATTEMPTED RAPE (Art. 266-A RC & R.A.8353)(PERSONS),ATTEMPTED ROBBERY(PROPERTY),ATTEMPTED THEFT(PROPERTY),CONSUMATED ANTI-CARNAPPING ACT (R.A. 6539) MC(SPECIAL LAWS),CONSUMATED ANTI-CARNAPPING ACT (R.A. 6539) MV(SPECIAL LAWS),CONSUMATED HOMICIDE(PERSONS),CONSUMATED MURDER(PERSONS),CONSUMATED PHYSICAL INJURIES(PERSONS),CONSUMATED RAPE (Art. 266-A RC & R.A.8353)(PERSONS),CONSUMATED ROBBERY(PROPERTY),CONSUMATED THEFT(PROPERTY),FRUSTRATED HOMICIDE(PERSONS),FRUSTRATED MURDER(PERSONS),QUALIFIED THEFT(PROPERTY),SERIOUS PHYSICAL INJURIES(PERSONS),Grand Total
Barangay 184,2,1,,,,,,,1,,3,5,6,23,1,4,,,46
Barangay 185,1,1,,,,,,,,1,1,2,,6,,1,,,13
Barangay 186,,,,,,,,,,3,2,1,2,3,,2,,,13
Barangay 187,1,,,,,,,1,1,4,3,,,,1,,,,11
Barangay 188,,,,,,,,,,,1,,,1,1,,,,3
Barangay 189,1,,,,,,,,1,1,1,1,,,1,,,,6
Barangay 19,,,,,,,,,,,,,,,,1,,,1
Barangay 190,5,1,,,,,1,1,1,6,1,3,2,5,1,4,,,31
Barangay 191,,,,,,,2,,,7,6,,2,12,4,2,,,35
Barangay 192,,,,,,,1,,,2,3,,,6,,1,,,13
Barangay 193,,,,,,,,,2,2,3,,1,2,,,,,10
Barangay 194,,,,,,,,2,,3,1,,1,4,1,2,,,14
Barangay 195,,,,,,,,,,4,,,,2,,2,,,8
Barangay 196,,,,,,,,,,2,,,,,,,,,2
Barangay 197,,,,,,,1,2,,2,1,,1,1,,,,,8
Barangay 198,,,,,,,,1,,1,2,,,1,,2,,,7
Barangay 199,,,,,,,1,,,,,,,,1,,,,2
Barangay 2,,,,,,,,1,,1,,,,,,,,,2
Barangay 20,,,,,,,1,,,,1,1,3,3,,,,,9
Barangay 201,1,,,1,,,5,2,2,9,5,3,4,14,3,2,,,51
Barangay 21,,,,,,,,,,1,,,1,2,1,1,,,6
Barangay 22,,,,,,,,,,,,,,1,1,,,,2
Barangay 23,1,,,,,,,1,,1,,2,1,4,,,,,10
Barangay 24,1,,,,,,,,,,,,1,4,,1,,,7
Barangay 26,,,,,,,,,,,,,,1,,,,,1
Barangay 27,,,,,,,,,1,2,,,,3,,1,,,7
Barangay 28,1,,,,,,1,,,,2,,2,,,1,,,7
Barangay 29,,,,,,,,,,,,,,1,,1,,,2
Barangay 3,,,,,,,,,,1,,1,,,1,,,,3
Barangay 30,,,,,,,1,,,1,1,,2,1,,,,,6
Barangay 31,,,,,,,,,,,1,1,,1,1,,,,4
Barangay 32,,,,,,,,,,1,1,,,2,,,,,4
Barangay 33,,,,,,,,,,1,1,,1,1,,,,,4
Barangay 34,,,,,,,1,,,,1,,,,,,,,2
Barangay 35,,,,,,,1,,,,,1,,2,,,,,4
Barangay 36,,,,,,,1,,,2,2,1,,9,,,,,15
Barangay 37,,,,,,,,1,,3,3,,1,8,,,,,16
Barangay 38,,,,,,,,,,,1,2,2,10,,1,,,16
Barangay 39,,,,,,,,,,1,1,,,5,,,,,7
