"main.id","hpq_spisc_mem.id","spisc_mem_refno"
"316796","0","1"
"316802","0","2"
"316806","0","3"
"316808","0","1"
"326088","0","1"
"326100","0","1"
"326100","1","2"
"329754","0","1"
"329754","1","10"
"329781","0","11"
"333877","0","2"
"337445","0","1"
"340036","0","1"
"340036","1","2"
"347398","0","1"
"349664","0","1"
"349664","1","2"
"349745","0","1"
"349763","0","1"
"349763","1","2"
"349774","0","2"
"349774","1","7"
"349924","0","2"
"350008","0","1"
"350008","1","2"
"350020","0","1"
"350020","1","2"
"350029","0","2"
"351029","0","2"
"351029","1","7"
"351039","0","2"
"351042","0","1"
"351042","1","2"
"351042","2","7"
"351052","0","1"
"356978","0","2"
"356978","1","1"
"357005","0","8"
"357011","0","2"
"358600","0","1"
"358600","1","2"
"376971","0","1"
"376989","0","1"
"376989","1","2"
"376924","0","1"
"390698","0","1"
"390698","1","2"
"395144","0","8"
"395151","0","3"
"395164","0","1"
"395164","1","2"
"397046","0","1"
"398917","0","1"
"398922","0","1"
"398960","0","1"
"398986","0","2"
"399029","0","1"
"399057","0","1"
"399057","1","2"
"400257","0","1"
"400257","1","2"
"400269","0","1"
"402700","0","1"
"402728","0","1"
"402738","0","1"
"403844","0","1"
"403869","0","1"
"406754","0","1"
"406754","1","2"
"406762","0","1"
"429318","0","1"
"429318","1","2"
"429725","0","1"
"430110","0","3"
"430110","1","1"
"430155","0","1"
"430157","0","1"
"430163","0","1"
"430164","0","3"
"430164","1","1"
"430171","0","1"
"430309","0","1"
"435226","0","4"
"435272","0","5"
"435281","0","1"
"435281","1","2"
"441880","0","1"
"441880","1","3"
"441893","0","1"
"441893","1","2"
"442673","0","2"
"442673","1","1"
"442684","0","1"
"442693","0","1"
"442693","1","2"
"442713","0","1"
"442717","0","1"
"442781","0","2"
"443647","0","1"
"443655","0","1"
"443667","0","1"
"445840","0","1"
"445840","1","2"
"455217","0","1"
"460934","0","1"
"460940","0","1"
"460940","1","4"
"467808","0","5"
"467808","1","6"
"467826","0","1"
"467826","1","2"
"467829","0","1"
"467829","1","2"
"467860","0","1"
"467889","0","1"
"467889","1","2"
"467920","0","1"
"467920","1","2"
"467931","0","6"
"467954","0","1"
"467962","0","1"
"467976","0","1"
"468051","0","1"
"468054","0","2"
"468054","1","3"
"468059","0","1"
"468079","0","1"
"468081","0","5"
"468115","0","1"
"468696","0","1"
"487090","0","1"
"487094","0","1"
"487116","0","1"
"487139","0","1"
"487163","0","1"
"487179","0","1"
"498906","0","1"
"500119","0","1"
"500119","1","2"
"500185","0","1"
"395146","0","2"
"501487","0","1"
"501492","0","1"
"502278","0","1"
"502280","0","1"
"502771","0","1"
"504008","0","1"
"504024","0","1415426587715"
"506179","0","2"
"506202","0","1"
"513808","0","2"
"513811","0","1"
"513843","0","1"
"513987","0","1"
"514001","0","1"
"514014","0","1"
"524230","0","1"
"524253","0","1"
"524257","0","1"
"533302","0","1"
"533302","1","5"
"533303","0","1"
"533303","1","4"
"533800","0","1"
"533800","1","6"
"536341","0","1"
"536341","1","3"
"536384","0","1"
"578287","0","9"
"578287","1","1"
"578290","0","1"
"578312","0","1"
"578323","0","1"
"578325","0","1"
"578329","0","1"
"578333","0","6"
"578333","1","1"
"578357","0","1"
"578368","0","1"
"578368","1","3"
"578375","0","1"
"580660","0","1"
"580660","1","2"
"589332","0","1"
"589332","1","2"
"589422","0","1"
"591257","0","6"
"591258","0","1"
"591331","0","1"
"591331","1","1416397608304"
"591334","0","1"
"591340","0","1"
"591346","0","1"
"594011","0","1"
"594011","1","2"
"601021","0","1416397608306"
"605682","0","1"
"610482","0","12"
"610530","0","1"
"610531","0","1"
"611477","0","1"
"613359","0","1"
"613361","0","1"
"614056","0","1"
"615844","0","1"
"615854","0","1"
"615854","1","3"
"615886","0","3"
"615914","0","1"
"616147","0","1"
"616153","0","1"
"616154","0","1"
"616156","0","1"
"616275","0","1"
"616281","0","1"
"616282","0","1"
"616298","0","1"
"616347","0","1"
"616347","1","2"
"618824","0","1"
"623136","0","1"
"623140","0","1"
"623142","0","1"
"623142","1","3"
"623149","0","1"
"623161","0","1"
"623832","0","1"
"623840","0","1"
"626411","0","1"
"629515","0","1"
"629783","0","1"
"629793","0","2"
"629793","1","1"
"630207","0","1"
"636565","0","1"
"636565","1","2"
"643036","0","1"
"643036","1","2"
"643038","0","1"
"643054","0","1"
"643054","1","2"
"643058","0","1"
"643058","1","2"
"643060","0","1"
"653697","0","1"
"653717","0","1"
"653721","0","1"
"663057","0","1"
"663057","1","5"
"663077","0","1"
"663077","1","5"
"663081","0","5"
"665106","0","1"
"665106","1","2"
"667394","0","1"
"667394","1","2"
"674413","0","1"
"684697","0","5"
"694347","0","6"
"694347","1","7"
"694349","0","1"
"694349","1","5"
"694350","0","5"
"694350","1","6"
"694375","0","1"
"694375","1","4"
"694388","0","1"
"694388","1","8"
"699743","0","5"
"699743","1","4"
"699743","2","1"
"699746","0","1"
"699754","0","7"
"699764","0","1"
"699764","1","3"
"699780","0","1"
"699784","0","1"
"705960","0","1"
"705962","0","1"
"705964","0","1"
"705965","0","1"
"705966","0","1"
"705972","0","1"
"705977","0","3"
"705977","1","1"
"712728","0","1"
"712731","0","1"
"713286","0","1"
"713288","0","1"
"714070","0","1"
"716349","0","1"
"716405","0","1"
"724612","0","1"
"724621","0","1"
"724657","0","1"
"724676","0","1"
"726006","0","1"
"726006","1","2"
"727119","0","1"
"732880","0","1"
"732880","1","3"
"732910","0","1"
"732910","1","2"
"736543","0","1"
"736559","0","1"
"736563","0","1"
"738676","0","1"
"748611","0","1"
"748620","0","1"
"748625","0","1"
"748631","0","1"
"763990","0","1"
"763992","0","1"
"764006","0","1"
"764006","1","2"
"769187","0","1"
"769187","1","2"
"769191","0","1"
"769351","0","1"
"776490","0","1"
"785502","0","1"
"786472","0","1"
"803539","0","1"
"803545","0","1"
"803562","0","1"
"815036","0","1"
"815036","1","2"
"817384","0","1"
"833395","0","1"
"833395","1","2"
"833396","0","1"
"833713","0","1"
"833718","0","1"
"833718","1","2"
"833769","0","2"
"833786","0","1"
"833817","0","2"
"833824","0","2"
"833832","0","2"
"838395","0","1"
"838401","0","1"
"838405","0","1"
"840565","0","1"
"840568","0","1"
"840581","0","1"
"840581","1","2"
"842077","0","1"
"842086","0","1"
"842092","0","1"
"842092","1","2"
"842107","0","1"
"842107","1","2"
"845416","0","1"
"845416","1","2"
"845426","0","1"
"845432","0","1"
"845432","1","2"
"845592","0","1"
"845592","1","2"
"845604","0","1"
"845604","1","2"
"848654","0","1"
"848665","0","1"
"850135","0","1"
"850135","1","2"
"852111","0","1"
"852111","1","2"
"852996","0","1"
"853000","0","1"
"865642","0","1"
"865642","1","3"
"866922","0","1"
"866922","1","2"
"866922","2","3"
"866922","3","4"
"869772","0","4"
"869777","0","1"
"869820","0","1"
"872064","0","2"
"872087","0","1"
"872087","1","2"
"872507","0","11"
"874395","0","2"
"874406","0","6"
"874640","0","1"
"874640","1","2"
"885310","0","1"
"886319","0","1"
"886765","0","2"
"886765","1","3"
"889622","0","1"
"892983","0","1"
"896624","0","1"
"896629","0","1"
"896629","1","2"
"896629","2","3"
"896878","0","1"
"899183","0","5"
"899209","0","3"
"899211","0","4"
"899247","0","1"
"899860","0","2"
"899860","1","1"
"899861","0","1"
"899861","1","2"
"900904","0","1"
"900906","0","1"
"900921","0","2"
"901301","0","1"
"901301","1","2"
"901305","0","1"
"901305","1","2"
"901307","0","1"
"901307","1","2"
"902799","0","1"
"906643","0","2"
"909186","0","4"
"909201","0","1"
"909201","1","6"
"909208","0","1"
"909208","1","4"
"912531","0","1"
"913747","0","1"
"914171","0","1"
"914176","0","1"
"914176","1","13"
"921791","0","1"
"921796","0","1"
"923768","0","1"
"925569","0","1"
"925569","1","2"
"925574","0","1"
"925574","1","2"
"925765","0","1"
"925765","1","2"
"926632","0","1"
"926640","0","1"
"929220","0","1"
"929680","0","1"
"930884","0","1"
"930884","1","2"
"930902","0","1"
"930909","0","1"
"930909","1","2"
"931308","0","1"
"931323","0","1"
"935177","0","1"
"935183","0","1"
"935190","0","1"
"935459","0","1"
"935484","0","1"
"936114","0","1"
"936114","1","2"
"936136","0","1"
"936136","1","2"
"936140","0","1"
"936140","1","2"
"936253","0","1"
"936263","0","1"
"944308","0","1"
"962874","0","1"
"962876","0","1"
"962876","1","2"
"962878","0","1"
"962878","1","2"
"963036","0","1"
"963770","0","1"
"963775","0","1"
"963776","0","1"
"963776","1","2"
"966337","0","1"
"966443","0","1"
"966592","0","1"
"966690","0","2"
"972283","0","1"
"979043","0","1"
"980769","0","1"
"980778","0","1"
"982109","0","1"
"982109","1","4"
"982265","0","1"
"982366","0","2"
"982366","1","1"
"984924","0","1"
"984924","1","8"
"987376","0","1"
"988806","0","1"
"988806","1","2"
"990121","0","1"
"990121","1","2"
"990124","0","1"
"990124","1","2"
