brgy,lat,long
1 ,14.5520705, 120.98525649999999
2 ,14.5581007, 120.9899623
3 ,14.5569121, 120.9892453
6 ,14.554935 ,120.99005190000003
5 ,14.5552845, 120.98987269999998
4 ,14.5560775, 120.98942450000004
7 ,14.5541682, 120.99032080000006
8 ,14.5535215, 120.99032080000006
9 ,14.5528903, 120.99076890000003
10, 14.5521235, 120.99103769999999
13, 14.5490257, 120.991217
11, 14.5514245, 120.99139620000005
16, 14.5578388, 120.9917547
14, 14.5585379, 120.99139620000005
17, 14.5583283, 120.99283009999999
20, 14.5556585, 120.9922924
19, 14.5573059, 120.99318859999994
12, 14.5507778, 120.99139620000005
18, 14.5568688, 120.9917547
15, 14.5594555, 120.9917547
27, 14.5483359, 120.99372629999993
25, 14.5516738, 120.99300930000004
28, 14.552111 ,120.99444319999998
22, 14.5559602, 120.99354700000004
21, 14.5547716, 120.99283009999999
23, 14.5541557, 120.99372629999993
26, 14.549817 ,120.99354700000004
29, 14.5501711, 120.99444319999998
24, 14.5527793, 120.99318859999994
30, 14.5489609, 120.99498089999997
36, 14.5570747, 120.99587710000003
32, 14.5470211, 120.99498089999997
38, 14.5524434, 120.99659399999996
31, 14.547991 ,120.99498089999997
40, 14.5484589, 120.9973109
34, 14.5577954, 120.99426399999993
37, 14.554488 ,120.99587710000003
35, 14.5558861, 120.99516019999999
39, 14.5498569, 120.99659399999996
33, 14.5592242, 120.99444319999998
43, 14.5609943, 120.99892399999999
45, 14.5581367, 120.99856550000004
41, 14.5602032, 120.99659399999996
47, 14.555467 ,120.99802790000001
49, 14.5528805, 120.99802790000001
46, 14.5579795, 120.99964090000003
50, 14.5540997, 120.99964090000003
44, 14.5575118, 120.9973109
42, 14.5605048, 120.9978486
48, 14.5557686, 120.99928249999994
58, 14.5500845, 120.99946169999998
55, 14.5512946, 120.99892399999999
53, 14.552754 ,120.99999939999998
54, 14.5524614, 121.00089550000007
51, 14.5539949, 121.00035780000007
52, 14.552577 ,120.99955130000001
56, 14.5510851, 121.00035780000007
60, 14.5492284, 121.00089550000007
57, 14.5515222, 121.00179159999993
59, 14.5487913, 120.99946169999998
64, 14.5495301, 121.0021501
67, 14.5500809, 121.00501759999997
69, 14.5462174, 120.99605629999996
70, 14.5442468, 120.99516019999999
66, 14.5487787, 121.00286699999992
61, 14.5506047, 121.00143320000006
63, 14.5501089, 121.0020604
62, 14.5510942, 121.00250849999998
65, 14.5507492, 121.00376310000001
68, 14.5457802, 120.99462249999999
77, 14.5361739, 120.9973109
74, 14.5414819, 120.99749020000002
80, 14.5385508, 120.99874479999994
71, 14.5455184, 120.99641480000003
72, 14.5438496, 120.9967732
73, 14.5409092, 120.99587710000003
75, 14.5378426, 120.99695250000002
78, 14.5342343, 120.9973109
79, 14.537153 ,120.99946169999998
76, 14.5373621, 120.98743860000002
84, 14.5401456, 120.99999939999998
89, 14.5438588, 120.99892399999999
87, 14.5432122, 120.99892399999999
83, 14.5383415, 121.00017860000003
88, 14.5443915, 120.99749020000002
86, 14.5426703, 120.99820709999995
82, 14.5401564, 120.99937210000007
85, 14.5416789, 120.99946169999998
81, 14.5398439, 120.99874479999994
90, 14.5450165, 120.99874479999994
91, 14.5463836, 120.99713169999995
99, 14.5406136, 121.00232929999993
92, 14.5465498, 120.99820709999995
96, 14.5452134, 121.00071630000002
98, 14.538674 ,121.00232929999993
95, 14.5468823, 121.00035780000007
97, 14.540823 ,121.00089550000007
100, 14.5419067, 121.00232929999993
93 ,14.5447239 ,120.99964090000003
94 ,14.5453182 ,120.99999939999998
101, 14.5419067, 121.00232929999993
102, 14.5441281, 121.0020604
103, 14.5450347, 121.00304619999997
104, 14.5450564, 121.00179159999993
105, 14.5457029, 121.00179159999993
106, 14.5463495, 121.00179159999993
107, 14.5471839, 121.0016124
108, 14.547621 ,121.00304619999997
109, 14.5464633, 121.00322540000002
110, 14.5458168, 121.00322540000002
116, 14.5404873, 121.00430069999993
111, 14.544148 ,121.0035838
112, 14.5435015, 121.0035838
117, 14.5403826, 121.00501759999997
113, 14.5416142, 121.00322540000002
118, 14.5391111, 121.00376310000001
119, 14.5391419, 121.00465919999999
114, 14.5427809, 121.00519680000002
108, 14.547621 ,121.00304619999997
115, 14.5414879, 121.00519680000002
